Full_Name,Appointing_President_1,Party_of_Appointing_President_1,Degree_Number,School,Degree,Degree_Year,DYear,School_Neat,Degree_Neat
Felix Frankfurter,Franklin D. Roosevelt,Democratic,1,City College of New York,B.A.,1902-01-01,1902,City New York,B.A.
James Francis Byrnes,Franklin D. Roosevelt,Democratic,1,Read law,,1903-01-01,1903,Read law,
Wiley Blount Rutledge,Franklin D. Roosevelt,Democratic,1,University of Wisconsin,B.A.,1914-01-01,1914,Uof Wisconsin,B.A.
William Orville Douglas,Franklin D. Roosevelt,Democratic,1,Whitman College,A.B.,1920-01-01,1920,Whitman,B.A.
Stanley Forman Reed,Franklin D. Roosevelt,Democratic,1,Columbia Law School,,,,Columbia,
Robert Houghwout Jackson,Franklin D. Roosevelt,Democratic,1,Albany Law School,,,,Albany,
Frank Murphy,Franklin D. Roosevelt,Democratic,1,University of Michigan,A.B.,1912-01-01,1912,Uof Michigan,B.A.
Melville Weston Fuller,Grover Cleveland,Democratic,1,Read law,,,,Read law,
Melville Weston Fuller,Grover Cleveland,Democratic,1,Read law,,,,Read law,
Lucius Quintus Cincinnatus Lamar,Grover Cleveland,Democratic,1,Emory College,B.A.,1845-01-01,1845,Emory,B.A.
Lucius Quintus Cincinnatus Lamar,Grover Cleveland,Democratic,1,Emory College,B.A.,1845-01-01,1845,Emory,B.A.
Rufus Wheeler Peckham,Grover Cleveland,Democratic,1,Read law,,1859-01-01,1859,Read law,
Rufus Wheeler Peckham,Grover Cleveland,Democratic,1,Read law,,1859-01-01,1859,Read law,
Charles Evans Hughes,Herbert Hoover,Republican,1,Brown University,A.B.,1881-01-01,1881,Brown,B.A.
Benjamin Nathan Cardozo,Herbert Hoover,Republican,1,Columbia College,A.B.,1889-01-01,1889,Columbia,B.A.
Owen Josephus Roberts,Herbert Hoover,Republican,1,University of Pennsylvania,A.B.,1895-01-01,1895,Uof Pennsylvania,B.A.
Earl Warren,Dwight D. Eisenhower,Republican,1,"University of California, Berkeley",B.A.,1912-01-01,1912,"Uof California, Berkeley",B.A.
"William Joseph Brennan, Jr.",Dwight D. Eisenhower,Republican,1,University of Pennsylvania,B.S.,1928-01-01,1928,Uof Pennsylvania,B.S.
Charles Evans Whittaker,Dwight D. Eisenhower,Republican,1,Kansas City School of Law (now University of Missouri-Kansas City School of Law),LL.B.,1924-01-01,1924,Uof Missouri,LL.B.
Potter Stewart,Dwight D. Eisenhower,Republican,1,Yale University,B.A.,1937-01-01,1937,Yale,B.A.
John Marshall Harlan,Dwight D. Eisenhower,Republican,1,"University of Oxford, Balliol College, Rhodes Scholar",,,,"Uof Oxford, Balliol, Rhodes Scholar",
Salmon Portland Chase,Abraham Lincoln,Republican,1,Dartmouth College,B.A.,1826-01-01,1826,Dartmouth,B.A.
Samuel Freeman Miller,Abraham Lincoln,Republican,1,Transylvania University,M.D.,1838-01-01,1838,Transylvania,M.D.
Noah Haynes Swayne,Abraham Lincoln,Republican,1,Read law,,1823-01-01,1823,Read law,
David Davis,Abraham Lincoln,Republican,1,Yale Law School,,,,Yale,
Stephen Johnson Field,Abraham Lincoln,Republican,1,Williams College,B.A.,1837-01-01,1837,Williams,B.A.
Morrison Remick Waite,Ulysses Grant,Republican,1,Yale College,,1837-01-01,1837,Yale,
Ward Hunt,Ulysses Grant,Republican,1,Litchfield (Tapping Reeve) Law School,,,,Litchfield (Tapping Reeve),
William Strong,Ulysses Grant,Republican,1,Yale Law School,,,,Yale,
Joseph P. Bradley,Ulysses Grant,Republican,1,Rutgers College,B.A.,1836-01-01,1836,Rutgers,B.A.
Frederick Moore Vinson,Harry S Truman,Democratic,1,Centre College,B.A.,1909-01-01,1909,Centre,B.A.
