Full_Name,Appointing_President_1,Party_of_Appointing_President_1,Degree_Number,School,Degree,Degree_Year,DYear,School_Neat,Degree_Neat
William Leonard Hungate,Jimmy Carter,Democratic,2,Harvard Law School,LL.B.,1948-01-01,1948,Harvard,LL.B.
McQueen McIntosh,Franklin Pierce,Democratic,2,,,,,,
William Bostwick Sheppard,Theodore Roosevelt,Republican,2,Read law,,1891-01-01,1891,Read law,
Augustus V. Long,Franklin D. Roosevelt,Democratic,2,Read law,,1898-01-01,1898,Read law,
Dozier Adolphus DeVane,Franklin D. Roosevelt,Democratic,2,,,,,,
Philip Fraser,Abraham Lincoln,Republican,2,,,,,,
Thomas Settle,Ulysses Grant,Republican,2,Read law,,1854-01-01,1854,Read law,
"David Lycurgus Middlebrooks, Jr.",Richard M. Nixon,Republican,2,University of Florida College of Law,LL.B.,1956-01-01,1956,Uof Florida,LL.B.
Winston Eugene Arnow,Lyndon B. Johnson,Democratic,2,University of Florida College of Law,J.D.,1933-01-01,1933,Uof Florida,J.D.
Lacey A. Collier,George H.W. Bush,Republican,2,University of West Florida,M.A.,1972-01-01,1972,Uof West Florida,M.A.
"John Richard Smoak, Jr.",George W. Bush,Republican,2,University of Florida College of Law,J.D.,1972-01-01,1972,Uof Florida,J.D.
Margaret Catharine Rodgers,George W. Bush,Republican,2,California Western School of Law,J.D.,1992-01-01,1992,California Western,J.D.
Maurice Mitchell Paul,Ronald Reagan,Republican,2,University of Florida College of Law,LL.B.,1960-01-01,1960,Uof Florida,LL.B.
Clyde Roger Vinson,Ronald Reagan,Republican,2,Vanderbilt University Law School,J.D.,1971-01-01,1971,Vanderbilt,J.D.
Robert Lewis Hinkle,William J. Clinton,Democratic,2,Harvard Law School,J.D.,1976-01-01,1976,Harvard,J.D.
Stephan P. Mickle,William J. Clinton,Democratic,2,University of Florida,M.Ed.,1966-01-01,1966,Uof Florida,M.Ed.
Mark Eaton Walker,Barack Obama,Democratic,2,University of Florida College of Law,J.D.,1992-01-01,1992,Uof Florida,J.D.
,Donald J. Trump,Republican,2,University of Florida College of Law,J.D.,2002-01-01,2002,Uof Florida,J.D.
Charles Swayne,Benjamin Harrison,Republican,2,,,,,,
"William Henry Stafford, Jr.",Gerald Ford,Republican,2,Temple University School of Law,LL.B.,1956-01-01,1956,Temple,LL.B.
Lynn Carlton Higby,Jimmy Carter,Democratic,2,Emory University School of Law,LL.B.,1962-01-01,1962,Emory,LL.B.
Hiram V. Willson,Franklin Pierce,Democratic,2,Hamilton College,,1832-01-01,1832,Hamilton,
Robert Walker Tayler,Theodore Roosevelt,Republican,2,Read law,,1877-01-01,1877,Read law,
David C. Westenhaver,Woodrow Wilson,Democratic,2,,,,,,
Samuel H. West,Calvin Coolidge,Republican,2,,,,,,
George Philip Hahn,Calvin Coolidge,Republican,2,,,,,,
Robert Nugen Wilkin,Franklin D. Roosevelt,Democratic,2,,,,,,
Frank Le Blond Kloeb,Franklin D. Roosevelt,Democratic,2,University of Wisconsin,,,,Uof Wisconsin,
Emerich B. Freed,Franklin D. Roosevelt,Democratic,2,Western Reserve University (now Case Western Reserve University) School of Law,LL.B.,1920-01-01,1920,Case Western Reserve,LL.B.
Girard Edward Kalbfleisch,Dwight D. Eisenhower,Republican,2,,,,,,
James C. Connell,Dwight D. Eisenhower,Republican,2,,,,,,
Martin Welker,Ulysses Grant,Republican,2,,,,,,
Charles Taylor Sherman,Andrew Johnson,Democratic,2,Read law,,1833-01-01,1833,Read law,
Charles Joseph McNamee,Harry S Truman,Democratic,2,,,,,,
"Nicholas Joseph Walinski, Jr.",Richard M. Nixon,Republican,2,Toledo University (now University of Toledo) College of Law,LL.B.,1951-01-01,1951,Uof Toledo,LL.B.
Don John Young,Lyndon B. Johnson,Democratic,2,Western Reserve University (now Case Western Reserve University) School of Law,LL.B.,1934-01-01,1934,Case Western Reserve,LL.B.
William Kernahan Thomas,Lyndon B. Johnson,Democratic,2,Ohio State University College of Law,J.D.,1935-01-01,1935,Ohio State,J.D.
Thomas Demetrios Lambros,Lyndon B. Johnson,Democratic,2,,,,,,
William Louis Day,William H. Taft,Republican,2,University of Michigan Law School,LL.B.,1900-01-01,1900,Uof Michigan,LL.B.
John Milton Killits,William H. Taft,Republican,2,Columbian University School of Law (now George Washington University Law School),LL.B.,1885-01-01,1885,George Washington,LL.B.
Paul J. Jones,Warren G. Harding,Republican,2,,,,,,
Paul Ramon Matia,George H.W. Bush,Republican,2,Harvard Law School,J.D.,1962-01-01,1962,Harvard,J.D.
Jack Zouhary,George W. Bush,Republican,2,University of Toledo College of Law,J.D.,1976-01-01,1976,Uof Toledo,J.D.
Sara Elizabeth Lioi,George W. Bush,Republican,2,Ohio State University College of Law,J.D.,1987-01-01,1987,Ohio State,J.D.
John R. Adams,George W. Bush,Republican,2,University of Akron School of Law,J.D.,1983-01-01,1983,Uof Akron,J.D.
Christopher A. Boyko,George W. Bush,Republican,2,"Cleveland State University, Cleveland-Marshall College of Law",J.D.,1979-01-01,1979,"Cleveland State, Cleveland-Marshall",J.D.
Alvin I. Krenzler,Ronald Reagan,Republican,2,Western Reserve University (now Case Western Reserve University) School of Law,LL.B.,1948-01-01,1948,Case Western Reserve,LL.B.
John William Potter,Ronald Reagan,Republican,2,University of Michigan Law School,J.D.,1946-01-01,1946,Uof Michigan,J.D.
"Richard B. McQuade, Jr.",Ronald Reagan,Republican,2,Toledo University (now University of Toledo) College of Law,J.D.,1965-01-01,1965,Uof Toledo,J.D.
"David Dudley Dowd, Jr.",Ronald Reagan,Republican,2,University of Michigan Law School,J.D.,1954-01-01,1954,Uof Michigan,J.D.
Samuel H. Bell,Ronald Reagan,Republican,2,Akron School of Law (now University of Akron School of Law),J.D.,1952-01-01,1952,Uof Akron,J.D.
David A. Katz,William J. Clinton,Democratic,2,Ohio State University College of Law,J.D.,1957-01-01,1957,Ohio State,J.D.
James G. Carr,William J. Clinton,Democratic,2,Harvard Law School,LL.B.,1969-01-01,1969,Harvard,LL.B.
Dan A. Polster,William J. Clinton,Democratic,2,Harvard Law School,J.D.,1976-01-01,1976,Harvard,J.D.
Peter C. Economus,William J. Clinton,Democratic,2,University of Akron School of Law,J.D.,1970-01-01,1970,Uof Akron,J.D.
Lesley Brooks Wells,William J. Clinton,Democratic,2,"Cleveland State University, Cleveland-Marshall College of Law",J.D.,1974-01-01,1974,"Cleveland State, Cleveland-Marshall",J.D.
Donald C. Nugent,William J. Clinton,Democratic,2,"Cleveland State University, Cleveland-Marshall College of Law",J.D.,1974-01-01,1974,"Cleveland State, Cleveland-Marshall",J.D.
James S. Gwin,William J. Clinton,Democratic,2,University of Akron School of Law,J.D.,1979-01-01,1979,Uof Akron,J.D.
Patricia Anne Gaughan,William J. Clinton,Democratic,2,Notre Dame Law School,J.D.,1978-01-01,1978,Notre Dame,J.D.
"Solomon Oliver, Jr.",William J. Clinton,Democratic,2,New York University School of Law,J.D.,1972-01-01,1972,New York,J.D.
Jeffrey James Helmick,Barack Obama,Democratic,2,Ohio State University College of Law,J.D.,1988-01-01,1988,Ohio State,J.D.
Benita Yalonda Pearson,Barack Obama,Democratic,2,"Cleveland State University, Cleveland-Marshall College of Law",J.D.,1995-01-01,1995,"Cleveland State, Cleveland-Marshall",J.D.
,Donald J. Trump,Republican,2,Ohio State University College of Law,J.D.,1982-01-01,1982,Ohio State,J.D.
Frank Joseph Battisti,John F. Kennedy,Democratic,2,Harvard Law School,J.D.,1950-01-01,1950,Harvard,J.D.
Ben Charles Green,John F. Kennedy,Democratic,2,Western Reserve University (now Case Western Reserve University) School of Law,LL.B.,1930-01-01,1930,Case Western Reserve,LL.B.
Augustus J. Ricks,Benjamin Harrison,Republican,2,Read law,,1866-01-01,1866,Read law,
John Michael Manos,Gerald Ford,Republican,2,Cleveland-Marshall College of Law,J.D.,1950-01-01,1950,Cleveland-Marshall,J.D.
Francis Joseph Wing,William McKinley,Republican,2,Read law,,1874-01-01,1874,Read law,
George Washington White,Jimmy Carter,Democratic,2,,,,,,
Ann Aldrich,Jimmy Carter,Democratic,2,New York University School of Law,LL.B.,1950-01-01,1950,New York,LL.B.
Isaac Stockton Keith Ogier,Franklin Pierce,Democratic,2,,,,,,
Oscar A. Trippet,Woodrow Wilson,Democratic,2,,,,,,
Benjamin Franklin Bledsoe,Woodrow Wilson,Democratic,2,Stanford University,A.B.,1896-01-01,1896,Stanford,B.A.
Paul John McCormick,Calvin Coolidge,Republican,2,Read law,,1900-01-01,1900,Read law,
Edward J. Henning,Calvin Coolidge,Republican,2,Columbian University School of Law (now George Washington University Law School),LL.B.,1896-01-01,1896,George Washington,LL.B.
James Francis Thaddeus O'Connor,Franklin D. Roosevelt,Democratic,2,University of North Dakota School of Law,LL.B.,1908-01-01,1908,Uof North Dakota,LL.B.
Ralph E. Jenney,Franklin D. Roosevelt,Democratic,2,University of Michigan Law School,LL.B.,1906-01-01,1906,Uof Michigan,LL.B.
Campbell Eben Beaumont,Franklin D. Roosevelt,Democratic,2,,,,,,
Benjamin Harrison,Franklin D. Roosevelt,Democratic,2,,,,,,
Olin Wellborn,Grover Cleveland,Democratic,2,,,,,,
Olin Wellborn,Grover Cleveland,Democratic,2,,,,,,
George Cosgrave,Herbert Hoover,Republican,2,,,,,,
Harry Aaron Hollzer,Herbert Hoover,Republican,2,"University of California, Berkeley, Department of Jurisprudence",LL.B.,1903-01-01,1903,"Uof California, Berkeley",LL.B.
Fred Kunzel,Dwight D. Eisenhower,Republican,2,Stanford Law School,J.D.,1927-01-01,1927,Stanford,J.D.
Fletcher Mathews Haight,Abraham Lincoln,Republican,2,,,,,,
Ernest Allen Tolin,Harry S Truman,Democratic,2,,,,,,
Jacob Weinberger,Harry S Truman,Democratic,2,,,,,,
William Carey Mathes,Harry S Truman,Democratic,2,Harvard Law School,LL.B.,1924-01-01,1924,Harvard,LL.B.
Harry Clay Westover,Harry S Truman,Democratic,2,,,,,,
Howard Boyd Turrentine,Richard M. Nixon,Republican,2,University of Southern California Law School,LL.B.,1939-01-01,1939,Uof Southern California,LL.B.
"Gordon Thompson, Jr.",Richard M. Nixon,Republican,2,Southwestern University School of Law,LL.B.,1956-01-01,1956,Southwestern,LL.B.
William Benner Enright,Richard M. Nixon,Republican,2,"Loyola Law School, Los Angeles, California",LL.B.,1950-01-01,1950,"Loyola, Los Angeles, California",LL.B.
Leland Chris Nielsen,Richard M. Nixon,Republican,2,University of Southern California Law School,J.D.,1946-01-01,1946,Uof Southern California,J.D.
Edward Joseph Schwartz,Lyndon B. Johnson,Democratic,2,University of San Francisco School of Law,J.D.,1939-01-01,1939,Uof San Francisco,J.D.
William P. James,Warren G. Harding,Republican,2,,,,,,
Irma Elsa Gonzalez,George H.W. Bush,Republican,2,University of Arizona College of Law,J.D.,1973-01-01,1973,Uof Arizona,J.D.
Marilyn L. Huff,George H.W. Bush,Republican,2,University of Michigan Law School,J.D.,1976-01-01,1976,Uof Michigan,J.D.
Janis Lynn Sammartino,George W. Bush,Republican,2,Notre Dame Law School,J.D.,1975-01-01,1975,Notre Dame,J.D.
Michael M. Anello,George W. Bush,Republican,2,Georgetown University Law Center,J.D.,1968-01-01,1968,Georgetown,J.D.
Larry Alan Burns,George W. Bush,Republican,2,University of San Diego School of Law,J.D.,1979-01-01,1979,Uof San Diego,J.D.
Dana Makoto Sabraw,George W. Bush,Republican,2,San Diego State University,B.S.,1980-01-01,1980,San Diego State,B.S.
William Q. Hayes,George W. Bush,Republican,2,Syracuse University College of Law,J.D.,1983-01-01,1983,Syracuse,J.D.
John A. Houston,George W. Bush,Republican,2,University of Miami School of Law,J.D.,1977-01-01,1977,Uof Miami,J.D.
Roger T. Benitez,George W. Bush,Republican,2,San Diego State University,B.A.,1974-01-01,1974,San Diego State,B.A.
Rudi M. Brewster,Ronald Reagan,Republican,2,Stanford Law School,J.D.,1960-01-01,1960,Stanford,J.D.
J. Lawrence Irving,Ronald Reagan,Republican,2,University of Southern California Law School,LL.B.,1963-01-01,1963,Uof Southern California,LL.B.
"John Skylstead Rhoades, Sr.",Ronald Reagan,Republican,2,"University of California, Hastings College of the Law",J.D.,1951-01-01,1951,"Uof California, Hastings the",J.D.
M. James Lorenz,William J. Clinton,Democratic,2,California Western School of Law,J.D.,1965-01-01,1965,California Western,J.D.
Jeffrey T. Miller,William J. Clinton,Democratic,2,"University of California, Los Angeles, School of Law",J.D.,1967-01-01,1967,"Uof California, Los Angeles",J.D.
Thomas J. Whelan,William J. Clinton,Democratic,2,San Diego School of Law (now University of San Diego School of Law),J.D.,1965-01-01,1965,Uof San Diego,J.D.
"Napoleon A. Jones, Jr.",William J. Clinton,Democratic,2,San Diego State College,M.S.W.,1967-01-01,1967,San Diego State,M.S.W.
Barry Ted Moskowitz,William J. Clinton,Democratic,2,Rutgers School of Law -- Newark,J.D.,1975-01-01,1975,Rutgers,J.D.
Anthony Joseph Battaglia,Barack Obama,Democratic,2,California Western School of Law,J.D.,1974-01-01,1974,California Western,J.D.
Cynthia Ann Bashant,Barack Obama,Democratic,2,"University of California, Hastings College of the Law",J.D.,1986-01-01,1986,"Uof California, Hastings the",J.D.
Cathy Ann Bencivengo,Barack Obama,Democratic,2,Rutgers University,M.A.,1981-01-01,1981,Rutgers,M.A.
Gonzalo Paul Curiel,Barack Obama,Democratic,2,Indiana University School of Law -- Bloomington (now Maurer School of Law),J.D.,1979-01-01,1979,Maurer,J.D.
James McHall Jones,Millard Fillmore,Whig,2,,,,,,
Judith Nelsen Keep,Jimmy Carter,Democratic,2,San Diego School of Law (now University of San Diego School of Law),J.D.,1970-01-01,1970,Uof San Diego,J.D.
Earl Ben Gilliam,Jimmy Carter,Democratic,2,"University of California, Hastings College of the Law",J.D.,1957-01-01,1957,"Uof California, Hastings the",J.D.
"Samuel Hubbel Treat, Jr.",Franklin Pierce,Democratic,2,,,,,,
J[ackson] Leroy Adair,Franklin D. Roosevelt,Democratic,2,,,,,,
William Joshua Allen,Grover Cleveland,Democratic,2,,,,,,
William Joshua Allen,Grover Cleveland,Democratic,2,,,,,,
Charles Guy Briggle,Herbert Hoover,Republican,2,,,,,,
Frederick Olen Mercer,Dwight D. Eisenhower,Republican,2,,,,,,
Omer Poos,Dwight D. Eisenhower,Republican,2,,,,,,
John Phil Gilbert,George H.W. Bush,Republican,2,Loyola University Chicago School of Law,J.D.,1974-01-01,1974,Loyola Chicago,J.D.
William Donald Stiehl,Ronald Reagan,Republican,2,,,,,,
David R. Herndon,William J. Clinton,Democratic,2,Southern Illinois University School of Law,J.D.,1977-01-01,1977,Southern Illinois,J.D.
G. Patrick Murphy,William J. Clinton,Democratic,2,Southern Illinois University School of Law,J.D.,1978-01-01,1978,Southern Illinois,J.D.
Paul E. Riley,William J. Clinton,Democratic,2,St. Louis University School of Law,J.D.,1967-01-01,1967,St. Louis,J.D.
Michael Joseph Reagan,William J. Clinton,Democratic,2,St. Louis University School of Law,J.D.,1980-01-01,1980,St. Louis,J.D.
Staci Michelle Yandle,Barack Obama,Democratic,2,Vanderbilt University Law School,J.D.,1987-01-01,1987,Vanderbilt,J.D.
Nancy Jo Rosenstengel,Barack Obama,Democratic,2,Southern Illinois University School of Law,J.D.,1993-01-01,1993,Southern Illinois,J.D.
J. Otis Humphrey,William McKinley,Republican,2,Read law,,1880-01-01,1880,Read law,
William Louis Beatty,Jimmy Carter,Democratic,2,,,,,,
West Hughes Humphreys,Franklin Pierce,Democratic,2,Read law,,1828-01-01,1828,Read law,
John Ethridge McCall,Theodore Roosevelt,Republican,2,Read law,,1882-01-01,1882,Read law,
Harry Bennett Anderson,Calvin Coolidge,Republican,2,Christian Brothers College,A.M.,,,Christian Brothers,M.A.
Marion Speed Boyd,Franklin D. Roosevelt,Democratic,2,,,,,,
Eli Shelby Hammond,Rutherford B. Hayes,Republican,2,Cumberland School of Law,,1858-01-01,1858,Cumberland,
"Robert Malcolm McRae, Jr.",Lyndon B. Johnson,Democratic,2,University of Virginia School of Law,LL.B.,1948-01-01,1948,Uof Virginia,LL.B.
John William Ross,Warren G. Harding,Republican,2,,,,,,
Jon Phipps McCalla,George H.W. Bush,Republican,2,Vanderbilt University Law School,J.D.,1974-01-01,1974,Vanderbilt,J.D.
"Samuel H. Mays, Jr.",George W. Bush,Republican,2,Yale Law School,J.D.,1973-01-01,1973,Yale,J.D.
J. Daniel Breen,George W. Bush,Republican,2,University of Tennessee College of Law,J.D.,1975-01-01,1975,Uof Tennessee,J.D.
Stanley Thomas Anderson,George W. Bush,Republican,2,"Memphis State University (now University of Memphis), Humphreys School of Law",J.D.,1980-01-01,1980,"Uof Memphis, Humphreys",J.D.
Jerome Turner,Ronald Reagan,Republican,2,Washington and Lee University School of Law,LL.B.,1966-01-01,1966,Washington and Lee,LL.B.
James Dale Todd,Ronald Reagan,Republican,2,University of Mississippi,M.C.S.,1968-01-01,1968,Uof Mississippi,M.S.
"John Thomas Fowlkes, Jr.",Barack Obama,Democratic,2,University of Denver College of Law,J.D.,1977-01-01,1977,Uof Denver,J.D.
Sheryl Halle Lipman,Barack Obama,Democratic,2,New York University School of Law,J.D.,1987-01-01,1987,New York,J.D.
,Donald J. Trump,Republican,2,Vanderbilt University Law School,J.D.,1989-01-01,1989,Vanderbilt,J.D.
"Mark Saalfield Norris, Sr.",Donald J. Trump,Republican,2,University of Denver College of Law,J.D.,1980-01-01,1980,Uof Denver,J.D.
Odell Horton,Jimmy Carter,Democratic,2,Howard University School of Law,LL.B.,1956-01-01,1956,Howard,LL.B.
Thomas Howard DuVal,Franklin Pierce,Democratic,2,Read law,,1837-01-01,1837,Read law,
DuVal West,Woodrow Wilson,Democratic,2,Cumberland School of Law,LL.B.,1890-01-01,1890,Cumberland,LL.B.
"William Robert Smith, Sr.",Woodrow Wilson,Democratic,2,Read law,,1885-01-01,1885,Read law,
Charles Albert Boynton,Calvin Coolidge,Republican,2,University of Michigan Law School,LL.B.,1891-01-01,1891,Uof Michigan,LL.B.
Walter Angus Keeling,Franklin D. Roosevelt,Democratic,2,,,,,,
Thomas Sheldon Maxey,Grover Cleveland,Democratic,2,,,,,,
Thomas Sheldon Maxey,Grover Cleveland,Democratic,2,,,,,,
Robert Johnston McMillan,Herbert Hoover,Republican,2,,,,,,
"Ben Herbert Rice, Jr.",Harry S Truman,Democratic,2,University of Texas,B.A.,1914-01-01,1914,Uof Texas,B.A.
Robert Ewing Thomason,Harry S Truman,Democratic,2,University of Texas School of Law,LL.B.,1900-01-01,1900,Uof Texas,LL.B.
"John Howland Wood, Jr.",Richard M. Nixon,Republican,2,University of Texas School of Law,LL.B.,1938-01-01,1938,Uof Texas,LL.B.
Ezekiel B. Turner,Rutherford B. Hayes,Republican,2,,,,,,
Dorwin Wallace Suttle,Lyndon B. Johnson,Democratic,2,,,,,,
Jack Roberts,Lyndon B. Johnson,Democratic,2,,,,,,
Ernest Allen Guinn,Lyndon B. Johnson,Democratic,2,University of Texas School of Law,LL.B.,1927-01-01,1927,Uof Texas,LL.B.
Sam Sparks,George H.W. Bush,Republican,2,University of Texas School of Law,LL.B.,1963-01-01,1963,Uof Texas,LL.B.
Xavier Rodriguez,George W. Bush,Republican,2,University of Texas School of Law,J.D.,1987-01-01,1987,Uof Texas,J.D.
"Earl Leroy Yeakel, III",George W. Bush,Republican,2,University of Texas School of Law,J.D.,1969-01-01,1969,Uof Texas,J.D.
Alia Moses,George W. Bush,Republican,2,University of Texas School of Law,J.D.,1986-01-01,1986,Uof Texas,J.D.
Robert A. Junell,George W. Bush,Republican,2,Texas Tech University,B.S.,1969-01-01,1969,Texas Tech,B.S.
Philip Ray Martinez,George W. Bush,Republican,2,Harvard Law School,J.D.,1982-01-01,1982,Harvard,J.D.
Kathleen Cardone,George W. Bush,Republican,2,"St. Mary`s University School of Law, Texas",J.D.,1979-01-01,1979,"St. Mary`s, Texas",J.D.
Frank Montalvo,George W. Bush,Republican,2,University of Michigan,M.S.,1977-01-01,1977,Uof Michigan,M.S.
James Robertson Nowlin,Ronald Reagan,Republican,2,"Trinity University, San Antonio, Texas",M.A.,1962-01-01,1962,"Trinity, San Antonio, Texas",M.A.
"Walter Scott Smith, Jr.",Ronald Reagan,Republican,2,Baylor University School of Law,J.D.,1966-01-01,1966,Baylor,J.D.
Orlando Luis Garcia,William J. Clinton,Democratic,2,University of Texas School of Law,J.D.,1978-01-01,1978,Uof Texas,J.D.
David Briones,William J. Clinton,Democratic,2,University of Texas School of Law,J.D.,1971-01-01,1971,Uof Texas,J.D.
"William Royal Furgeson, Jr.",William J. Clinton,Democratic,2,University of Texas School of Law,J.D.,1967-01-01,1967,Uof Texas,J.D.
"Samuel Frederick Biery, Jr.",William J. Clinton,Democratic,2,Southern Methodist University School of Law,J.D.,1973-01-01,1973,Southern Methodist,J.D.
David Campos Guaderrama,Barack Obama,Democratic,2,Notre Dame Law School,J.D.,1979-01-01,1979,Notre Dame,J.D.
Robert Lee Pitman,Barack Obama,Democratic,2,University of Texas School of Law,J.D.,1988-01-01,1988,Uof Texas,J.D.
"Walter David Counts, III",Donald J. Trump,Republican,2,"St. Mary`s University School of Law, Texas",J.D.,1986-01-01,1986,"St. Mary`s, Texas",J.D.
,Donald J. Trump,Republican,2,University of Texas School of Law,J.D.,1984-01-01,1984,Uof Texas,J.D.
Adrian Anthony Spears,John F. Kennedy,Democratic,2,,,,,,
William Steele Sessions,Gerald Ford,Republican,2,Baylor University School of Law,LL.B.,1958-01-01,1958,Baylor,LL.B.
"Clyde Frederick Shannon, Jr.",Jimmy Carter,Democratic,2,University of Texas School of Law,LL.B.,1968-01-01,1968,Uof Texas,LL.B.
Harry Lee Hudspeth,Jimmy Carter,Democratic,2,University of Texas School of Law,J.D.,1958-01-01,1958,Uof Texas,J.D.
"Lucius Desha Bunton, III",Jimmy Carter,Democratic,2,University of Texas School of Law,J.D.,1950-01-01,1950,Uof Texas,J.D.
Hipolito Frank Garcia,Jimmy Carter,Democratic,2,,,,,,
Rensselaer Russell Nelson,James Buchanan,Democratic,2,Read law,,1849-01-01,1849,Read law,
Page Morris,Theodore Roosevelt,Republican,2,Virginia Military Institute,,1872-01-01,1872,Virginia Military Institute,
Joseph West Molyneaux,Calvin Coolidge,Republican,2,,,,,,
Robert Cook Bell,Franklin D. Roosevelt,Democratic,2,,,,,,
George F. Sullivan,Franklin D. Roosevelt,Democratic,2,,,,,,
William Lochren,Grover Cleveland,Democratic,2,,,,,,
William Lochren,Grover Cleveland,Democratic,2,,,,,,
Matthew M. Joyce,Herbert Hoover,Republican,2,Read law,,1900-01-01,1900,Read law,
Gunnar Hans Nordbye,Herbert Hoover,Republican,2,,,,,,
Edward James Devitt,Dwight D. Eisenhower,Republican,2,University of North Dakota,B.S.,1938-01-01,1938,Uof North Dakota,B.S.
Dennis Francis Donovan,Harry S Truman,Democratic,2,,,,,,
Donald Douglas Alsop,Richard M. Nixon,Republican,2,University of Minnesota Law School,LL.B.,1952-01-01,1952,Uof Minnesota,LL.B.
Miles Welton Lord,Lyndon B. Johnson,Democratic,2,University of Minnesota Law School,LL.B.,1948-01-01,1948,Uof Minnesota,LL.B.
Philip Neville,Lyndon B. Johnson,Democratic,2,University of Minnesota Law School,LL.B.,1933-01-01,1933,Uof Minnesota,LL.B.
Milton Dwight Purdy,William H. Taft,Republican,2,University of Minnesota Law School,LL.B.,1892-01-01,1892,Uof Minnesota,LL.B.
Charles Andrew Willard,William H. Taft,Republican,2,Boston University School of Law,LL.B.,1879-01-01,1879,Boston,LL.B.
William Alexander Cant,Warren G. Harding,Republican,2,,,,,,
John Franklin McGee,Warren G. Harding,Republican,2,,,,,,
Richard House Kyle,George H.W. Bush,Republican,2,University of Minnesota Law School,LL.B.,1962-01-01,1962,Uof Minnesota,LL.B.
Joan N. Ericksen,George W. Bush,Republican,2,University of Minnesota Law School,J.D.,1981-01-01,1981,Uof Minnesota,J.D.
Patrick Joseph Schiltz,George W. Bush,Republican,2,Harvard Law School,J.D.,1985-01-01,1985,Harvard,J.D.
Paul Arthur Magnuson,Ronald Reagan,Republican,2,William Mitchell College of Law (now Mitchell Hamline School of Law),J.D.,1963-01-01,1963,Mitchell Hamline,J.D.
David Singleton Doty,Ronald Reagan,Republican,2,University of Minnesota Law School,J.D.,1961-01-01,1961,Uof Minnesota,J.D.
James Michael Rosenbaum,Ronald Reagan,Republican,2,University of Minnesota Law School,J.D.,1969-01-01,1969,Uof Minnesota,J.D.
Michael James Davis,William J. Clinton,Democratic,2,University of Minnesota Law School,J.D.,1972-01-01,1972,Uof Minnesota,J.D.
Donovan W. Frank,William J. Clinton,Democratic,2,Hamline University School of Law,J.D.,1977-01-01,1977,Hamline,J.D.
John R. Tunheim,William J. Clinton,Democratic,2,University of Minnesota Law School,J.D.,1980-01-01,1980,Uof Minnesota,J.D.
Ann D. Montgomery,William J. Clinton,Democratic,2,University of Minnesota Law School,J.D.,1974-01-01,1974,Uof Minnesota,J.D.
Wilhelmina Marie Wright,Barack Obama,Democratic,2,Harvard Law School,J.D.,1989-01-01,1989,Harvard,J.D.
Susan Richard Nelson,Barack Obama,Democratic,2,University of Pittsburgh School of Law,J.D.,1978-01-01,1978,Uof Pittsburgh,J.D.
,Donald J. Trump,Republican,2,William Mitchell College of Law (now Mitchell Hamline School of Law),J.D.,1990-01-01,1990,Mitchell Hamline,J.D.
,Donald J. Trump,Republican,2,University of Texas,M.A.,1993-01-01,1993,Uof Texas,M.A.
Earl Richard Larson,John F. Kennedy,Democratic,2,University of Minnesota Law School,J.D.,1935-01-01,1935,Uof Minnesota,J.D.
Harry Hunter MacLaughlin,Jimmy Carter,Democratic,2,University of Minnesota Law School,LL.B.,1956-01-01,1956,Uof Minnesota,LL.B.
Robert George Renner,Jimmy Carter,Democratic,2,Georgetown College Law School (now Georgetown University Law Center),J.D.,1949-01-01,1949,Georgetown,J.D.
Matthew Paul Deady,James Buchanan,Democratic,2,,,,,,
Charles Edwin Wolverton,Theodore Roosevelt,Republican,2,Christian College (now Western Oregon State University),A.B.,1872-01-01,1872,Western Oregon State,B.A.
John Hugh McNary,Calvin Coolidge,Republican,2,Read law,,1894-01-01,1894,Read law,
Claude Charles McColloch,Franklin D. Roosevelt,Democratic,2,,,,,,
Charles Byron Bellinger,Grover Cleveland,Democratic,2,,,,,,
Charles Byron Bellinger,Grover Cleveland,Democratic,2,,,,,,
William G. East,Dwight D. Eisenhower,Republican,2,University of Oregon School of Law,J.D.,1932-01-01,1932,Uof Oregon,J.D.
Gus Jerome Solomon,Harry S Truman,Democratic,2,Stanford Law School,LL.B.,1929-01-01,1929,Stanford,LL.B.
James Milton Burns,Richard M. Nixon,Republican,2,Loyola University Chicago School of Law,J.D.,1950-01-01,1950,Loyola Chicago,J.D.
Robert Clinton Belloni,Lyndon B. Johnson,Democratic,2,University of Oregon School of Law,J.D.,1951-01-01,1951,Uof Oregon,J.D.
Robert Sharp Bean,William H. Taft,Republican,2,Read law,,1878-01-01,1878,Read law,
Robert Edward Jones,George H.W. Bush,Republican,2,Northwestern School of Law of Lewis and Clark College,LL.B.,1953-01-01,1953,Northwestern of Lewis and Clark,LL.B.
Michael Robert Hogan,George H.W. Bush,Republican,2,Georgetown University Law Center,J.D.,1971-01-01,1971,Georgetown,J.D.
Michael W. Mosman,George W. Bush,Republican,2,Utah State University,B.S.,1981-01-01,1981,Utah State,B.S.
Malcolm Francis Marsh,Ronald Reagan,Republican,2,University of Oregon School of Law,LL.B.,1954-01-01,1954,Uof Oregon,LL.B.
Ancer Lee Haggerty,William J. Clinton,Democratic,2,"University of California, Hastings College of the Law",J.D.,1973-01-01,1973,"Uof California, Hastings the",J.D.
Anna J. Brown,William J. Clinton,Democratic,2,Northwestern School of Law of Lewis and Clark College,J.D.,1980-01-01,1980,Northwestern of Lewis and Clark,J.D.
